#datatype,measurement,time,double
#group,false,false,false
#default,,,
,_measurement,UNIX,TA
,ExposedTemp,1692119160000000000,74
,ExposedTemp,1692119280000000000,74.1
,ExposedTemp,1692119400000000000,74
,ExposedTemp,1692119520000000000,74.1
,ExposedTemp,1692119640000000000,74.1
,ExposedTemp,1692119760000000000,74.1
,ExposedTemp,1692119880000000000,74.4
,ExposedTemp,1692120000000000000,74
,ExposedTemp,1692120120000000000,74
,ExposedTemp,1692120240000000000,73.7
,ExposedTemp,1692120360000000000,73.7
,ExposedTemp,1692120480000000000,73.7
,ExposedTemp,1692120600000000000,73.7
,ExposedTemp,1692120720000000000,73.7
,ExposedTemp,1692120840000000000,73.9
,ExposedTemp,1692120960000000000,73.9
,ExposedTemp,1692121080000000000,73.7
,ExposedTemp,1692121200000000000,73.6
,ExposedTemp,1692121320000000000,72.5
,ExposedTemp,1692121440000000000,71.7
,ExposedTemp,1692121560000000000,71.7
,ExposedTemp,1692121680000000000,71.2
,ExposedTemp,1692121800000000000,71
,ExposedTemp,1692121920000000000,71
,ExposedTemp,1692122040000000000,71.1
,ExposedTemp,1692122160000000000,71.2
,ExposedTemp,1692122280000000000,71.1
,ExposedTemp,1692122400000000000,71.1
,ExposedTemp,1692122520000000000,71
,ExposedTemp,1692122640000000000,71
,ExposedTemp,1692122760000000000,71
,ExposedTemp,1692122880000000000,71
,ExposedTemp,1692123000000000000,70.9
,ExposedTemp,1692123120000000000,70.9
,ExposedTemp,1692123240000000000,70.9
,ExposedTemp,1692123360000000000,70.9
,ExposedTemp,1692123480000000000,70.9
,ExposedTemp,1692123600000000000,70.9
,ExposedTemp,1692123720000000000,70.7
,ExposedTemp,1692123840000000000,70.7
,ExposedTemp,1692123960000000000,70.7
,ExposedTemp,1692124080000000000,70.8
,ExposedTemp,1692124200000000000,70.9
,ExposedTemp,1692124320000000000,71.1
,ExposedTemp,1692124440000000000,71
,ExposedTemp,1692124560000000000,71
,ExposedTemp,1692124680000000000,70.9
,ExposedTemp,1692124800000000000,70.7
,ExposedTemp,1692124920000000000,70.6
,ExposedTemp,1692125040000000000,70.6
,ExposedTemp,1692125160000000000,70.5
,ExposedTemp,1692125280000000000,70.5
,ExposedTemp,1692125400000000000,70.4
,ExposedTemp,1692125520000000000,70.4
,ExposedTemp,1692125640000000000,70.4
,ExposedTemp,1692125760000000000,70.3
,ExposedTemp,1692125880000000000,70.2
,ExposedTemp,1692126000000000000,70.1
,ExposedTemp,1692126120000000000,70
,ExposedTemp,1692126240000000000,69.8
,ExposedTemp,1692126360000000000,69.7
,ExposedTemp,1692126480000000000,69.6
,ExposedTemp,1692126600000000000,69.5
,ExposedTemp,1692126720000000000,69.4
,ExposedTemp,1692126840000000000,69.4
,ExposedTemp,1692126960000000000,69.2
,ExposedTemp,1692127080000000000,69.2
,ExposedTemp,1692127200000000000,69.1
,ExposedTemp,1692127320000000000,69
,ExposedTemp,1692127440000000000,69
,ExposedTemp,1692127560000000000,68.9
,ExposedTemp,1692127680000000000,68.9
,ExposedTemp,1692127800000000000,68.8
,ExposedTemp,1692127920000000000,68.7
,ExposedTemp,1692128040000000000,68.6
,ExposedTemp,1692128160000000000,68.6
,ExposedTemp,1692128280000000000,68.5
,ExposedTemp,1692128400000000000,68.5
,ExposedTemp,1692128520000000000,68.4
,ExposedTemp,1692128640000000000,68.4
,ExposedTemp,1692128760000000000,68.4
,ExposedTemp,1692128880000000000,68.3
,ExposedTemp,1692129000000000000,68.3
,ExposedTemp,1692129120000000000,68.1
,ExposedTemp,1692129240000000000,68
,ExposedTemp,1692129360000000000,67.9
,ExposedTemp,1692129480000000000,67.9
,ExposedTemp,1692129600000000000,67.8
,ExposedTemp,1692129720000000000,68
,ExposedTemp,1692129840000000000,68
,ExposedTemp,1692129960000000000,67.8
,ExposedTemp,1692130080000000000,67.7
,ExposedTemp,1692130200000000000,67.7
,ExposedTemp,1692130320000000000,67.6
,ExposedTemp,1692130440000000000,67.6
,ExposedTemp,1692130560000000000,67.5
,ExposedTemp,1692130680000000000,67.4
,ExposedTemp,1692130800000000000,67.3
,ExposedTemp,1692130920000000000,67.2
,ExposedTemp,1692131040000000000,67.1
,ExposedTemp,1692131160000000000,67.1
,ExposedTemp,1692131280000000000,66.9
,ExposedTemp,1692131400000000000,66.7
,ExposedTemp,1692131520000000000,66.6
,ExposedTemp,1692131640000000000,66.4
,ExposedTemp,1692131760000000000,66.4
,ExposedTemp,1692131880000000000,66.3
,ExposedTemp,1692132000000000000,66.4
,ExposedTemp,1692132120000000000,66.4
,ExposedTemp,1692132240000000000,66.4
,ExposedTemp,1692132360000000000,66.3
,ExposedTemp,1692132480000000000,66.2
,ExposedTemp,1692132600000000000,66.1
,ExposedTemp,1692132720000000000,66.1
,ExposedTemp,1692132840000000000,66.1
,ExposedTemp,1692132960000000000,66.1
,ExposedTemp,1692133080000000000,66
,ExposedTemp,1692133200000000000,65.8
,ExposedTemp,1692133320000000000,65.7
,ExposedTemp,1692133440000000000,65.7
,ExposedTemp,1692133560000000000,65.8
,ExposedTemp,1692133680000000000,65.8
,ExposedTemp,1692133800000000000,65.8
,ExposedTemp,1692133920000000000,65.7
,ExposedTemp,1692134040000000000,65.7
,ExposedTemp,1692134160000000000,65.5
,ExposedTemp,1692134280000000000,65.4
,ExposedTemp,1692134400000000000,65.3
,ExposedTemp,1692134520000000000,65.3
,ExposedTemp,1692134640000000000,65.5
,ExposedTemp,1692134760000000000,65.7
,ExposedTemp,1692134880000000000,65.6
,ExposedTemp,1692135000000000000,65.5
,ExposedTemp,1692135120000000000,65.3
,ExposedTemp,1692135240000000000,65
,ExposedTemp,1692135360000000000,64.8
,ExposedTemp,1692135480000000000,64.8
,ExposedTemp,1692135600000000000,65.1
,ExposedTemp,1692135720000000000,65.2
,ExposedTemp,1692135840000000000,65.2
,ExposedTemp,1692135960000000000,65.1
,ExposedTemp,1692136080000000000,65.2
,ExposedTemp,1692136200000000000,65.3
,ExposedTemp,1692136320000000000,65.4
,ExposedTemp,1692136440000000000,65.4
,ExposedTemp,1692136560000000000,65.1
,ExposedTemp,1692136680000000000,65.3
,ExposedTemp,1692136800000000000,65.4
,ExposedTemp,1692136920000000000,65.4
,ExposedTemp,1692137040000000000,65.3
